sample	total_minimizer_hits	genus	genus_taxid	genus_hits	genus_fraction	species	species_taxid	species_hits	species_fraction
HpGP-CHI-022	489011	Helicobacter	209	483874	0.989495	Helicobacter pylori	210	425113	0.869332
HpGP-CHI-023	500568	Helicobacter	209	495620	0.990115	Helicobacter pylori	210	435370	0.869752
HpGP-CHI-024	487780	Helicobacter	209	482465	0.989104	Helicobacter pylori	210	425290	0.871889
HpGP-CHI-026	498248	Helicobacter	209	493068	0.989604	Helicobacter pylori	210	433671	0.870392
HpGP-CHI-027	482372	Helicobacter	209	477410	0.989713	Helicobacter pylori	210	420617	0.871976
HpGP-CHI-028	505925	Helicobacter	209	500673	0.989619	Helicobacter pylori	210	440946	0.871564
HpGP-CHI-101	490055	Helicobacter	209	485144	0.989979	Helicobacter pylori	210	426529	0.870370
HpGP-CHI-102	479283	Helicobacter	209	474262	0.989524	Helicobacter pylori	210	415657	0.867248
HpGP-CHI-103	491829	Helicobacter	209	486206	0.988567	Helicobacter pylori	210	426472	0.867114
HpGP-CHI-104	475672	Helicobacter	209	470280	0.988664	Helicobacter pylori	210	413793	0.869912
HpGP-CHI-105	410079	Helicobacter	209	405256	0.988239	Helicobacter pylori	210	348878	0.850758
HpGP-CHI-106	475856	Helicobacter	209	470027	0.987750	Helicobacter pylori	210	413070	0.868057
HpGP-CHI-107	494144	Helicobacter	209	488937	0.989463	Helicobacter pylori	210	429555	0.869291
HpGP-CHI-110	475497	Helicobacter	209	468590	0.985474	Helicobacter pylori	210	411279	0.864946
HpGP-CHI-113	475602	Helicobacter	209	470615	0.989514	Helicobacter pylori	210	413963	0.870398
HpGP-CHI-114	490525	Helicobacter	209	484407	0.987528	Helicobacter pylori	210	425548	0.867536
HpGP-CHI-116	402764	Helicobacter	209	397957	0.988065	Helicobacter pylori	210	341766	0.848552
HpGP-CHI-117	492660	Helicobacter	209	487699	0.989930	Helicobacter pylori	210	428736	0.870247
HpGP-CHI-119	496493	Helicobacter	209	491395	0.989732	Helicobacter pylori	210	432971	0.872059
HpGP-CHI-120	476082	Helicobacter	209	471065	0.989462	Helicobacter pylori	210	414946	0.871585
HpGP-CHI-122	509861	Helicobacter	209	504873	0.990217	Helicobacter pylori	210	441222	0.865377
HpGP-CHI-123	487937	Helicobacter	209	482185	0.988212	Helicobacter pylori	210	423105	0.867130
HpGP-CHI-124	489155	Helicobacter	209	484035	0.989533	Helicobacter pylori	210	423484	0.865746
HpGP-CHI-125	503831	Helicobacter	209	498670	0.989756	Helicobacter pylori	210	438493	0.870318
HpGP-CHI-126	490120	Helicobacter	209	485212	0.989986	Helicobacter pylori	210	426551	0.870299
HpGP-CHI-127	499747	Helicobacter	209	494526	0.989553	Helicobacter pylori	210	435042	0.870524
HpGP-CHI-204	504036	Helicobacter	209	499185	0.990376	Helicobacter pylori	210	433584	0.860224
HpGP-CHI-207	486423	Helicobacter	209	481317	0.989503	Helicobacter pylori	210	423734	0.871122
HpGP-CHI-208	480282	Helicobacter	209	475272	0.989569	Helicobacter pylori	210	412757	0.859406
HpGP-CHI-209	496872	Helicobacter	209	491654	0.989498	Helicobacter pylori	210	432337	0.870117
HpGP-CHI-210	489347	Helicobacter	209	483174	0.987385	Helicobacter pylori	210	424502	0.867487
HpGP-CHI-212	509923	Helicobacter	209	504787	0.989928	Helicobacter pylori	210	442002	0.866801
HpGP-CHN-001	479320	Helicobacter	209	473140	0.987107	Helicobacter pylori	210	417591	0.871215
HpGP-CHN-002	476640	Helicobacter	209	471419	0.989046	Helicobacter pylori	210	415978	0.872730
HpGP-CHN-003	488987	Helicobacter	209	483813	0.989419	Helicobacter pylori	210	427672	0.874608
HpGP-CHN-004	473789	Helicobacter	209	466998	0.985667	Helicobacter pylori	210	412077	0.869748
HpGP-CHN-005	491183	Helicobacter	209	485338	0.988100	Helicobacter pylori	210	423268	0.861732
HpGP-CHN-006	473607	Helicobacter	209	468515	0.989248	Helicobacter pylori	210	412772	0.871550
HpGP-CHN-007	479593	Helicobacter	209	474522	0.989426	Helicobacter pylori	210	415253	0.865845
HpGP-CHN-008	490792	Helicobacter	209	484077	0.986318	Helicobacter pylori	210	421537	0.858891
HpGP-CHN-009	475713	Helicobacter	209	470645	0.989347	Helicobacter pylori	210	415600	0.873636
HpGP-CHN-010	499229	Helicobacter	209	494047	0.989620	Helicobacter pylori	210	429863	0.861054
HpGP-COG-001	478853	Helicobacter	209	473873	0.989600	Helicobacter pylori	210	419030	0.875070
HpGP-COG-002	504394	Helicobacter	209	499485	0.990268	Helicobacter pylori	210	439992	0.872318
HpGP-COG-003	486012	Helicobacter	209	481092	0.989877	Helicobacter pylori	210	425946	0.876410
HpGP-COG-004	475846	Helicobacter	209	470902	0.989610	Helicobacter pylori	210	416440	0.875157
HpGP-COG-005	475987	Helicobacter	209	471115	0.989764	Helicobacter pylori	210	416706	0.875457
HpGP-COG-006	488188	Helicobacter	209	482018	0.987361	Helicobacter pylori	210	426854	0.874364
HpGP-COG-007	484891	Helicobacter	209	479837	0.989577	Helicobacter pylori	210	419092	0.864301
HpGP-COG-008	477203	Helicobacter	209	472415	0.989967	Helicobacter pylori	210	417345	0.874565
HpGP-COG-009	476695	Helicobacter	209	471704	0.989530	Helicobacter pylori	210	416470	0.873661
HpGP-COG-010	481579	Helicobacter	209	476258	0.988951	Helicobacter pylori	210	420146	0.872434
HpGP-COG-011	474236	Helicobacter	209	469235	0.989455	Helicobacter pylori	210	414746	0.874556
HpGP-COL-002	473668	Helicobacter	209	468569	0.989235	Helicobacter pylori	210	412703	0.871292
HpGP-COL-003	492216	Helicobacter	209	485675	0.986711	Helicobacter pylori	210	427091	0.867690
HpGP-COL-004	485129	Helicobacter	209	479759	0.988931	Helicobacter pylori	210	422723	0.871362
HpGP-COL-005	495284	Helicobacter	209	490062	0.989457	Helicobacter pylori	210	428392	0.864942
HpGP-COL-006	491720	Helicobacter	209	486682	0.989754	Helicobacter pylori	210	426811	0.867996
HpGP-COL-008	504312	Helicobacter	209	498937	0.989342	Helicobacter pylori	210	438755	0.870007
HpGP-COL-010	487926	Helicobacter	209	482893	0.989685	Helicobacter pylori	210	422606	0.866127
HpGP-COL-102	499410	Helicobacter	209	494354	0.989876	Helicobacter pylori	210	434549	0.870125
HpGP-COL-103	492060	Helicobacter	209	487032	0.989782	Helicobacter pylori	210	424192	0.862074
HpGP-COL-104	494601	Helicobacter	209	489588	0.989865	Helicobacter pylori	210	433477	0.876418
HpGP-COL-105	473016	Helicobacter	209	466744	0.986740	Helicobacter pylori	210	406718	0.859840
HpGP-COL-106	475580	Helicobacter	209	469863	0.987979	Helicobacter pylori	210	410039	0.862187
HpGP-COL-107	492392	Helicobacter	209	486054	0.987128	Helicobacter pylori	210	429051	0.871361
HpGP-COL-108	492268	Helicobacter	209	487180	0.989664	Helicobacter pylori	210	427460	0.868348
HpGP-COL-109	502259	Helicobacter	209	496461	0.988456	Helicobacter pylori	210	435328	0.866740
HpGP-COL-110	499482	Helicobacter	209	494479	0.989984	Helicobacter pylori	210	435716	0.872336
HpGP-COL-112	503600	Helicobacter	209	498626	0.990123	Helicobacter pylori	210	435949	0.865665
HpGP-COL-113	498630	Helicobacter	209	493606	0.989924	Helicobacter pylori	210	436523	0.875445
HpGP-COL-114	498563	Helicobacter	209	493404	0.989652	Helicobacter pylori	210	435141	0.872790
HpGP-COL-118	510445	Helicobacter	209	504620	0.988588	Helicobacter pylori	210	442193	0.866289
HpGP-COL-119	487982	Helicobacter	209	482917	0.989621	Helicobacter pylori	210	426142	0.873274
HpGP-COL-120	502132	Helicobacter	209	496872	0.989525	Helicobacter pylori	210	436186	0.868668
HpGP-COL-121	503588	Helicobacter	209	497928	0.988761	Helicobacter pylori	210	437347	0.868462
HpGP-COL-122	501193	Helicobacter	209	495705	0.989050	Helicobacter pylori	210	436981	0.871882
HpGP-COL-201	472977	Helicobacter	209	467469	0.988355	Helicobacter pylori	210	407795	0.862188
HpGP-COL-202	473540	Helicobacter	209	468012	0.988326	Helicobacter pylori	210	408274	0.862174
HpGP-COL-203	479995	Helicobacter	209	474271	0.988075	Helicobacter pylori	210	418364	0.871601
HpGP-COL-204	484913	Helicobacter	209	479620	0.989085	Helicobacter pylori	210	423272	0.872882
HpGP-COL-205	513702	Helicobacter	209	508781	0.990421	Helicobacter pylori	210	451634	0.879175
HpGP-COL-206	492550	Helicobacter	209	487601	0.989952	Helicobacter pylori	210	428839	0.870651
HpGP-COL-207	500591	Helicobacter	209	495244	0.989319	Helicobacter pylori	210	437916	0.874798
HpGP-COL-208	502829	Helicobacter	209	497511	0.989424	Helicobacter pylori	210	440306	0.875658
HpGP-COL-209	475223	Helicobacter	209	470140	0.989304	Helicobacter pylori	210	413969	0.871105
HpGP-COL-210	484021	Helicobacter	209	478463	0.988517	Helicobacter pylori	210	416950	0.861430
HpGP-COL-211	505330	Helicobacter	209	499979	0.989411	Helicobacter pylori	210	440510	0.871727
HpGP-COL-301	490645	Helicobacter	209	485461	0.989434	Helicobacter pylori	210	425296	0.866810
HpGP-COL-302	505106	Helicobacter	209	499716	0.989329	Helicobacter pylori	210	441152	0.873385
HpGP-COL-303	479928	Helicobacter	209	474062	0.987777	Helicobacter pylori	210	414012	0.862654
HpGP-COL-305	475269	Helicobacter	209	468289	0.985314	Helicobacter pylori	210	412319	0.867549
HpGP-COL-306	502213	Helicobacter	209	496966	0.989552	Helicobacter pylori	210	437196	0.870539
HpGP-COL-307	488180	Helicobacter	209	483206	0.989811	Helicobacter pylori	210	425582	0.871773
HpGP-COL-308	494835	Helicobacter	209	489840	0.989906	Helicobacter pylori	210	434014	0.877088
HpGP-COL-309	496736	Helicobacter	209	491506	0.989471	Helicobacter pylori	210	432394	0.870470
HpGP-COL-310	474199	Helicobacter	209	466706	0.984199	Helicobacter pylori	210	411244	0.867239
HpGP-COL-318	481983	Helicobacter	209	476932	0.989520	Helicobacter pylori	210	421254	0.874002
HpGP-CRI-001	489858	Helicobacter	209	483481	0.986982	Helicobacter pylori	210	423676	0.864896
HpGP-CRI-002	500209	Helicobacter	209	494956	0.989498	Helicobacter pylori	210	434923	0.869483
HpGP-CRI-003	486805	Helicobacter	209	480028	0.986079	Helicobacter pylori	210	423579	0.870120
HpGP-CRI-004	486023	Helicobacter	209	480897	0.989453	Helicobacter pylori	210	423325	0.870998
HpGP-CRI-005	508896	Helicobacter	209	502451	0.987335	Helicobacter pylori	210	437932	0.860553
HpGP-CRI-006	494350	Helicobacter	209	488257	0.987675	Helicobacter pylori	210	429353	0.868520
HpGP-CRI-007	488050	Helicobacter	209	482980	0.989612	Helicobacter pylori	210	424552	0.869894
HpGP-CRI-008	504784	Helicobacter	209	499209	0.988956	Helicobacter pylori	210	439031	0.869740
HpGP-DOM-001	473903	Helicobacter	209	468643	0.988901	Helicobacter pylori	210	413195	0.871898
HpGP-DOM-002	488968	Helicobacter	209	483187	0.988177	Helicobacter pylori	210	423126	0.865345
HpGP-DOM-003	490275	Helicobacter	209	484951	0.989141	Helicobacter pylori	210	424886	0.866628
HpGP-DOM-004	480957	Helicobacter	209	475889	0.989463	Helicobacter pylori	210	421111	0.875569
HpGP-DOM-005	513267	Helicobacter	209	507671	0.989097	Helicobacter pylori	210	445311	0.867601
HpGP-DOM-006	481037	Helicobacter	209	475935	0.989394	Helicobacter pylori	210	417357	0.867619
HpGP-DOM-007	479558	Helicobacter	209	473951	0.988308	Helicobacter pylori	210	417760	0.871136
HpGP-DOM-008	469690	Helicobacter	209	461165	0.981850	Helicobacter pylori	210	403454	0.858979
HpGP-DOM-009	467915	Helicobacter	209	462412	0.988239	Helicobacter pylori	210	406801	0.869391
HpGP-DOM-010	486397	Helicobacter	209	480785	0.988462	Helicobacter pylori	210	417362	0.858069
HpGP-DOM-011	481691	Helicobacter	209	476647	0.989529	Helicobacter pylori	210	422154	0.876400
HpGP-FRA-001	515877	Helicobacter	209	510918	0.990387	Helicobacter pylori	210	450624	0.873511
HpGP-FRA-002	485301	Helicobacter	209	479835	0.988737	Helicobacter pylori	210	419536	0.864486
HpGP-FRA-003	470001	Helicobacter	209	465125	0.989626	Helicobacter pylori	210	409568	0.871419
HpGP-FRA-004	474296	Helicobacter	209	469269	0.989401	Helicobacter pylori	210	412890	0.870532
HpGP-FRA-005	476279	Helicobacter	209	470902	0.988710	Helicobacter pylori	210	414888	0.871103
HpGP-FRA-006	468874	Helicobacter	209	464001	0.989607	Helicobacter pylori	210	403778	0.861165
HpGP-FRA-007	501063	Helicobacter	209	495109	0.988117	Helicobacter pylori	210	431931	0.862029
HpGP-FRA-008	464912	Helicobacter	209	459836	0.989082	Helicobacter pylori	210	403852	0.868663
HpGP-FRA-009	471707	Helicobacter	209	465534	0.986913	Helicobacter pylori	210	409282	0.867661
HpGP-FRA-010	465458	Helicobacter	209	460457	0.989256	Helicobacter pylori	210	404394	0.868809
HpGP-FRA-011	482985	Helicobacter	209	477720	0.989099	Helicobacter pylori	210	419167	0.867868
HpGP-FRA-012	486422	Helicobacter	209	481479	0.989838	Helicobacter pylori	210	422381	0.868343
HpGP-FRA-013	474357	Helicobacter	209	469191	0.989109	Helicobacter pylori	210	413125	0.870916
HpGP-FRA-014	490216	Helicobacter	209	485269	0.989909	Helicobacter pylori	210	424634	0.866218
HpGP-FRA-015	493828	Helicobacter	209	488683	0.989581	Helicobacter pylori	210	431982	0.874762
HpGP-FRA-016	475702	Helicobacter	209	469984	0.987980	Helicobacter pylori	210	413191	0.868592
HpGP-FRA-017	490022	Helicobacter	209	484897	0.989541	Helicobacter pylori	210	426899	0.871183
HpGP-FRA-018	488201	Helicobacter	209	482997	0.989340	Helicobacter pylori	210	423415	0.867296
HpGP-FRA-019	485834	Helicobacter	209	480849	0.989739	Helicobacter pylori	210	424886	0.874550
HpGP-FRA-020	479166	Helicobacter	209	473628	0.988442	Helicobacter pylori	210	417863	0.872063
HpGP-FRA-021	474196	Helicobacter	209	468483	0.987952	Helicobacter pylori	210	412502	0.869898
HpGP-GER-001	502132	Helicobacter	209	496750	0.989282	Helicobacter pylori	210	438339	0.872956
HpGP-GER-002	487139	Helicobacter	209	482154	0.989767	Helicobacter pylori	210	423188	0.868721
HpGP-GER-003	474480	Helicobacter	209	469176	0.988821	Helicobacter pylori	210	413225	0.870901
HpGP-GER-004	485086	Helicobacter	209	480180	0.989886	Helicobacter pylori	210	417544	0.860763
HpGP-GER-005	476118	Helicobacter	209	471104	0.989469	Helicobacter pylori	210	416136	0.874019
HpGP-GER-006	457415	Helicobacter	209	451879	0.987897	Helicobacter pylori	210	396404	0.866618
HpGP-GER-007	472488	Helicobacter	209	466875	0.988120	Helicobacter pylori	210	411624	0.871184
HpGP-GER-009	479864	Helicobacter	209	474192	0.988180	Helicobacter pylori	210	418515	0.872153
HpGP-GER-010	477932	Helicobacter	209	472827	0.989319	Helicobacter pylori	210	411082	0.860127
HpGP-GER-012	494461	Helicobacter	209	488785	0.988521	Helicobacter pylori	210	432766	0.875228
HpGP-GER-013	475101	Helicobacter	209	469914	0.989082	Helicobacter pylori	210	412285	0.867784
HpGP-GER-015	494705	Helicobacter	209	488767	0.987997	Helicobacter pylori	210	431930	0.873106
HpGP-GER-016	488433	Helicobacter	209	482209	0.987257	Helicobacter pylori	210	424799	0.869718
HpGP-GER-018	475099	Helicobacter	209	468779	0.986698	Helicobacter pylori	210	408762	0.860372
HpGP-GER-019	468822	Helicobacter	209	463259	0.988134	Helicobacter pylori	210	407628	0.869473
HpGP-GER-020	479495	Helicobacter	209	473832	0.988190	Helicobacter pylori	210	417429	0.870560
HpGP-GER-021	488017	Helicobacter	209	483138	0.990002	Helicobacter pylori	210	423445	0.867685
HpGP-GHA-003	462587	Helicobacter	209	457268	0.988502	Helicobacter pylori	210	402689	0.870515
HpGP-GHA-009	491687	Helicobacter	209	486599	0.989652	Helicobacter pylori	210	429646	0.873820
HpGP-GMB-003	460755	Helicobacter	209	455736	0.989107	Helicobacter pylori	210	400272	0.868731
HpGP-GMB-004	474362	Helicobacter	209	469417	0.989575	Helicobacter pylori	210	410925	0.866269
HpGP-GMB-007	488636	Helicobacter	209	483634	0.989763	Helicobacter pylori	210	424330	0.868397
HpGP-GMB-008	490728	Helicobacter	209	485566	0.989481	Helicobacter pylori	210	424767	0.865585
HpGP-GMB-009	470464	Helicobacter	209	465501	0.989451	Helicobacter pylori	210	411189	0.874007
HpGP-GRE-001	490434	Helicobacter	209	484942	0.988802	Helicobacter pylori	210	428542	0.873802
HpGP-GRE-002	486864	Helicobacter	209	481910	0.989825	Helicobacter pylori	210	420955	0.864625
HpGP-GRE-003	477469	Helicobacter	209	469771	0.983877	Helicobacter pylori	210	412792	0.864542
HpGP-GRE-004	471093	Helicobacter	209	466166	0.989541	Helicobacter pylori	210	409912	0.870130
HpGP-GRE-005	488507	Helicobacter	209	483526	0.989804	Helicobacter pylori	210	421395	0.862618
HpGP-GRE-006	481539	Helicobacter	209	474430	0.985237	Helicobacter pylori	210	413679	0.859077
HpGP-GRE-008	492205	Helicobacter	209	486922	0.989267	Helicobacter pylori	210	425808	0.865103
HpGP-GRE-011	489960	Helicobacter	209	483801	0.987430	Helicobacter pylori	210	423801	0.864971
HpGP-GRE-012	470028	Helicobacter	209	465138	0.989596	Helicobacter pylori	210	409052	0.870272
HpGP-GRE-018	499974	Helicobacter	209	494800	0.989651	Helicobacter pylori	210	432492	0.865029
HpGP-GRE-019	495272	Helicobacter	209	489980	0.989315	Helicobacter pylori	210	429931	0.868070
HpGP-GRE-020	470054	Helicobacter	209	464985	0.989216	Helicobacter pylori	210	408423	0.868885
HpGP-GRE-022	496123	Helicobacter	209	489965	0.987588	Helicobacter pylori	210	430447	0.867622
HpGP-GRE-036	471803	Helicobacter	209	464288	0.984072	Helicobacter pylori	210	408334	0.865476
HpGP-GRE-039	467965	Helicobacter	209	462988	0.989365	Helicobacter pylori	210	406833	0.869366
HpGP-GRE-040	482945	Helicobacter	209	477365	0.988446	Helicobacter pylori	210	421125	0.871994
HpGP-GRE-041	476363	Helicobacter	209	469906	0.986445	Helicobacter pylori	210	413838	0.868745
