Strain	Tomb26695	F16	SouthAfrica20	SouthAfrica7
HpGP-COL-106	69.688	24.978	0.83	2.255
HpGP-COL-107	64.091	26.965	1.17	2.948
HpGP-COL-108	42.425	9.945	1.09	2.53
HpGP-COL-109	45.385	14.743	1.902	2.703
HpGP-COL-110	63.98	21.772	1.045	2.295
HpGP-COL-112	63.667	22.814	1.368	4.131
HpGP-COL-113	59.271	23.169	1.849	3.563
HpGP-COL-114	61.256	20.871	1.673	2.691
HpGP-COL-118	64.085	22.061	0.916	2.612
HpGP-COL-119	64.111	27.366	2.276	4.33
HpGP-COL-120	59.99	27.95	1.441	2.412
HpGP-COL-121	67.01	22.151	1.519	3.746
HpGP-COL-122	62.691	23.064	2.021	4.647
HpGP-COL-201	64.694	23.722	0.886	2.684
HpGP-COL-202	63.921	24.578	0.886	2.684
HpGP-COL-203	64.893	24.441	1.016	4.327
HpGP-COL-204	56.434	28.56	0.996	2.867
HpGP-COL-205	26.409	9.035	0.954	4.578
HpGP-COL-206	58.02	19.639	0.942	2.567
HpGP-COL-207	33.997	13.541	1.454	3.66
HpGP-COL-208	23.309	7.375	1.577	3.54
HpGP-COL-209	62.731	19.395	1.063	2.496
HpGP-COL-210	61.461	29.661	1.177	2.635
HpGP-COL-211	58.429	22.067	1.706	3.359
HpGP-COL-301	65.837	23.7	0.404	3.098
HpGP-COL-302	62.08	22.737	1.935	4.432
HpGP-COL-303	63.119	30.257	1.188	2.416
HpGP-COL-305	71.037	31.007	1.415	1.978
HpGP-COL-306	29.534	7.293	1.352	4.035
HpGP-COL-307	61.735	36.768	0.826	2.649
HpGP-COL-308	63.784	20.929	1.769	4.138
HpGP-COL-309	67.646	25.851	1.591	2.959
HpGP-COL-310	71.138	30.281	0.797	3.176
HpGP-COL-318	56.354	15.234	0.795	3.385
HpGP-CRI-001	60.948	20.699	1.073	1.931
HpGP-CRI-002	62.134	23.621	2.272	3.167
HpGP-CRI-003	66.108	25.824	0.64	2.389
HpGP-CRI-004	34.376	11.119	0.781	4.096
HpGP-CRI-005	64.595	24.251	0.845	2.308
HpGP-CRI-006	68.929	24.883	2.22	3.435
HpGP-CRI-007	38.394	8.01	1.276	2.876
HpGP-CRI-008	64.716	23.48	2.675	3.37
HpGP-DOM-001	67.453	26.265	1.309	3.017
HpGP-DOM-002	67.749	24.818	2.019	4.117
HpGP-DOM-003	66.531	25.841	1.924	4.091
HpGP-DOM-004	20.228	5.887	0.442	4.242
HpGP-DOM-005	66.648	19.851	1.071	3.774
HpGP-DOM-006	21.474	4.511	2.207	5.08
HpGP-DOM-007	37.076	8.519	1.879	3.938
HpGP-DOM-008	64.744	21.06	1.39	2.467
HpGP-DOM-009	64.817	26.425	1.018	3.298
HpGP-DOM-010	68.996	21.004	0.835	2.789
HpGP-DOM-011	22.664	5.088	1.402	4.229
HpGP-FRA-001	69.909	27.887	2.256	4.132
HpGP-FRA-002	77.67	38.722	1.648	3.159
HpGP-FRA-003	68.249	29.119	1.65	3.742
HpGP-FRA-004	71.684	36.082	0.736	2.601
HpGP-FRA-005	72.688	25.496	1.034	3.038
HpGP-FRA-006	78.516	41.637	0.918	1.637
HpGP-FRA-007	83.88	52.85	1.446	3.041
HpGP-FRA-008	74.594	34.881	0.953	1.845
HpGP-FRA-009	67.219	18.619	1.312	3.131
HpGP-FRA-010	65.981	25.659	1.679	3.684
HpGP-FRA-011	82.958	42.628	0.775	2.052
HpGP-FRA-012	84.245	42.766	0.91	2.231
HpGP-FRA-013	81.126	46.024	1.112	2.701
HpGP-FRA-014	85.024	42.92	0.912	2.211
HpGP-FRA-015	82.18	46.217	1.165	3.018
HpGP-FRA-016	82.603	40.971	0.557	1.807
HpGP-FRA-017	70.492	27.03	2.263	4.525
HpGP-FRA-018	74.283	34.656	0.942	3.284
HpGP-FRA-019	74.904	40.508	1.967	3.437
HpGP-FRA-020	67.948	25.07	1.031	2.189
HpGP-FRA-021	77.193	44.84	0.587	2.079
HpGP-GER-001	78.953	49.704	0.743	2.361
HpGP-GER-002	85.807	44.411	0.484	1.91
HpGP-GER-003	74.883	37.165	2.066	2.422
HpGP-GER-004	76.45	46.884	1.125	3.814
HpGP-GER-005	78.301	48.371	1.045	2.549
HpGP-GER-006	76.813	39.412	0.756	2.121
HpGP-GER-007	82.05	50.647	0.905	2.125
HpGP-GER-009	79.884	47.185	0.621	2.003
HpGP-GER-010	78.315	48.905	0.785	2.008
HpGP-GER-012	81.432	53.615	2.244	3.566
HpGP-GER-013	77.735	47.162	2.331	3.919
HpGP-GER-015	80.572	54.354	2.041	3.235
HpGP-GER-016	82.027	53.046	2.335	3.235
HpGP-GER-018	78.484	33.32	0.793	2.655
HpGP-GER-019	81.306	45.099	1.199	1.862
HpGP-GER-020	80.612	44.927	1.541	4.479
HpGP-GER-021	88.229	50.144	0.606	1.782
HpGP-GHA-003	15.199	3.998	0.503	4.298
HpGP-GHA-009	20.563	4.376	1.426	4.92
HpGP-GMB-003	10.367	2.896	2.682	6.413
HpGP-GMB-004	14.644	3.627	0.855	5.103
HpGP-GMB-007	14.775	4.459	1.375	4.592
HpGP-GMB-008	12.457	2.942	0.899	4.414
HpGP-GMB-009	18.227	4.982	1.092	4.291
HpGP-GRE-001	79.53	44.093	2.459	3.849
HpGP-GRE-002	79.864	43.736	2.336	3.307
HpGP-GRE-003	75.64	38.032	2.225	4.336
HpGP-GRE-004	81.615	39.028	0.772	2.098
HpGP-GRE-005	76.749	36.833	2.249	5.124
HpGP-GRE-006	76.911	40.55	0.918	3.005
HpGP-GRE-008	83.826	47.157	2.363	3.902
HpGP-GRE-011	78.899	46.883	2.089	3.15
HpGP-GRE-012	76.601	47.848	0.645	2.432
HpGP-GRE-018	81.246	48.266	2.435	2.922
HpGP-GRE-019	82.167	43.705	1.463	3.115
HpGP-GRE-020	74.948	39.966	2.239	3.571
HpGP-GRE-022	79.908	44.778	2.532	4.356
HpGP-GRE-036	76.401	38.568	1.332	2.367
HpGP-GRE-039	78.974	39.083	0.916	1.898
HpGP-GRE-040	75.143	36.172	0.998	2.441
HpGP-GRE-041	75.524	34.336	2.481	3.962
HpGP-GRE-042	75.568	34.539	1.327	3.118
HpGP-GRE-043	80.184	44.812	2.17	3.184
HpGP-GRE-044	77.52	48.739	0.89	1.63
HpGP-GRE-046	75.523	34.336	2.481	3.962
HpGP-GTM-004	65.404	26.709	1.013	3.577
HpGP-GTM-007	63.691	37.935	1.069	2.575
HpGP-GTM-010	32.155	10.128	2.381	4.513
HpGP-HON-001	63.058	27.304	0.852	2.221
HpGP-HON-002	62.153	24.59	0.864	2.143
HpGP-HON-003	41.323	10.308	1.526	3.884
HpGP-HON-004	29.263	14.26	1.342	3.183
HpGP-HON-005	62.159	21.925	1.186	2.909
HpGP-HON-006	50.13	12.824	1.238	3.6
HpGP-HON-007	35.745	9.693	1.692	6.022
HpGP-HON-009	61.957	28.458	1.172	2.947
HpGP-HON-010	43.176	19.493	1.057	3.797
HpGP-HON-011	61.743	28.064	0.853	2.75
HpGP-HON-012	45.236	13.9	0.928	4.663
HpGP-HON-013	38.053	12.42	1.343	3.435
HpGP-HON-014	43.064	14.694	2.266	4.389
HpGP-HON-015	44.748	13.288	1.064	3.205
HpGP-HON-016	67.172	32.254	2.101	3.272
HpGP-HON-017	26.691	7.546	1.577	6.123
HpGP-HON-018	33.272	13.162	1.373	5.453
HpGP-HON-019	33.297	7.246	1.665	5.043
HpGP-HON-020	43.694	10.701	1.726	5.567
HpGP-HON-021	35.875	13.177	0.991	4.526
HpGP-HON-023	36.969	16.553	1.348	3.134
HpGP-HON-024	70.789	31.119	0.98	1.423
HpGP-HON-025	67.063	32.311	0.737	2.726
HpGP-HON-026	64.467	27.514	0.585	2.155
HpGP-HON-027	70.411	26.477	0.889	2.409
HpGP-HON-028	67.518	34.914	2.235	3.921
HpGP-IDN-001	55.692	61.29	1.113	2.491
HpGP-IDN-002	48.828	92.287	0.389	0.235
HpGP-IDN-003	73.453	51.168	0.853	2.83
HpGP-IDN-004	77.406	51.625	0.709	1.77
HpGP-IDN-005	48.97	93.556	0.499	1.424
HpGP-IDN-006	67.224	27.025	0.872	3.09
HpGP-IDN-007	52.552	88.402	0.335	1.675
HpGP-IDN-008	52.97	93.737	0.842	0.692
HpGP-IDN-009	63.528	34.607	0.957	2.658
HpGP-IDN-010	61.654	74.342	0.694	1.628
HpGP-IDN-011	33.19	67.236	0.545	1.36
HpGP-IND-001	61.278	67.715	0.51	1.781
HpGP-IND-002	67.581	53.171	0.947	1.597
HpGP-IND-003	75.83	55.747	1.451	2.352
HpGP-IND-004	70.863	48.913	0.396	1.663
HpGP-IND-005	70.334	45.587	1.183	2.084
HpGP-IND-006	69.083	44.112	0.519	2.239
HpGP-IND-007	65.965	68.634	1.913	2.605
HpGP-IND-008	66.939	67.391	0.642	1.389
HpGP-IND-009	68.16	64.939	0.433	1.4
HpGP-IND-010	66.065	65.076	0.56	1.805
HpGP-IRN-001	80.543	52.152	1.997	3.974
HpGP-IRN-002	76.06	41.391	0.571	2.661
HpGP-IRN-003	73.56	37.273	1.116	2.226
HpGP-IRN-009	76.4	45.506	1.208	2.604
HpGP-ISL-001	83.377	70.716	1.843	3.491
HpGP-ISL-002	81.756	72.155	2.293	3.278
HpGP-ISL-003	81.28	72.337	1.184	2.715
HpGP-ISL-004	81.63	67.921	0.549	0.862
HpGP-ISL-005	82.541	69.173	0.882	1.742
HpGP-ISL-006	84.745	74.102	0.612	2.33
HpGP-ISL-007	80.614	73.544	0.711	1.747
HpGP-ISL-008	81.31	74.483	0.526	2.245
HpGP-ISL-009	81.258	71.928	0.41	0.785
HpGP-ISL-010	80.88	73.588	0.378	1.779
HpGP-ISL-011	83.986	75.489	0.809	1.974
HpGP-ISR-001	74.189	34.158	2.719	4.125
HpGP-ISR-002	77.602	31.649	0.853	2.93
HpGP-ISR-003	74.31	36.284	2.405	3.99
HpGP-ISR-004	74.53	32.208	1.033	2.561
HpGP-ISR-005	67.257	24.654	1.939	3.382
HpGP-ISR-006	78.644	48.741	0.514	1.339
HpGP-ISR-007	73.76	35.74	0.858	3.446
HpGP-ISR-008	68.718	21.916	1.609	3.837
HpGP-ISR-009	68.95	25.886	0.519	3.078
HpGP-ISR-010	73.606	32.029	2.311	3.3
HpGP-ITA-001	78.161	42.82	1.268	1.779
HpGP-ITA-002	79.314	39.585	1.273	2.84
HpGP-ITA-003	71.393	35.293	0.729	2.618
HpGP-ITA-004	76.907	42.971	1.039	3.771
HpGP-ITA-005	71.448	33.779	1.166	3.087
HpGP-ITA-006	77.871	38.262	1.593	3.316
HpGP-ITA-007	82.122	42.53	0.873	2.286
HpGP-ITA-008	79.769	50.343	1.238	2.281
HpGP-ITA-009	79.712	44.11	2.641	3.751
HpGP-ITA-010	78.024	42.173	1.895	3.31
HpGP-ITA-011	75.25	34.554	1.147	1.192
HpGP-ITA-012	77.483	46.288	0.664	2.051
HpGP-ITA-013	74.804	39.397	1.984	3.458
HpGP-ITA-014	80.751	41.566	2.122	3.472
HpGP-ITA-015	76.916	46.839	1.876	3.908
HpGP-ITA-016	78.349	39.597	1.821	2.412
HpGP-ITA-017	78.941	44.935	2.301	4.499
HpGP-ITA-018	84.393	40.544	0.566	3.273
HpGP-ITA-019	81.588	47.851	1.468	3.455
HpGP-ITA-020	80.018	43.813	1.895	3.018
HpGP-ITA-022	79.487	49.057	1.12	1.539
HpGP-ITA-023	77.818	44.055	1.572	2.959
HpGP-ITA-024	80.108	49.082	0.898	3.11
HpGP-ITA-025	76.041	42.256	1.788	3.553
HpGP-ITA-026	78.058	44.981	0.317	2.596
HpGP-ITA-027	83.055	49.363	1.773	2.031
HpGP-ITA-028	79.647	50.462	0.502	2.267
HpGP-ITA-029	79.226	40.199	0.49	1.841
HpGP-ITA-030	80.291	47.433	0.762	2.132
HpGP-JAP-002	49.037	93.309	0.832	0.988
HpGP-JAP-009	55.723	95.336	0.305	1.591
HpGP-JAP-010	52.944	94.773	0.507	1.552
HpGP-JAP-012	52.304	94.429	0.575	1.549
HpGP-JAP-013	53.642	95.088	0.434	1.662
HpGP-JAP-015	53.323	95.258	0.509	1.114
HpGP-JAP-016	53.321	94.465	1.98	2.68
HpGP-JAP-017	57.045	94.508	1.795	2.757
HpGP-JAP-019	54.163	94.728	0.806	1.978
HpGP-JAP-021	56.967	94.68	0.514	1.821
HpGP-JAP-022	52.879	95.6	0.81	1.71
HpGP-JAP-026	53.388	94.314	0.629	1.672
HpGP-JAP-028	57.761	95.341	0.583	1.671
HpGP-JAP-029	54.905	95.123	0.645	0.85
HpGP-JAP-101	50.315	94.846	0.417	1.476
HpGP-JAP-102	72.698	68.231	1.4	2.808
HpGP-JAP-103	55.082	92.83	0.46	0.499
HpGP-JAP-104	69.818	70.356	1.202	2.266
HpGP-JAP-105	53.078	90.111	0.875	1.535
HpGP-JAP-106	53.786	92.566	2.016	1.846
HpGP-JAP-107	51.704	94.798	0.532	1.673
HpGP-JAP-108	54.089	93.927	0.825	1.479
HpGP-JAP-109	53.466	94.437	0.68	0.797
HpGP-JAP-110	57.33	28.773	1.128	2.762
HpGP-JAP-111	54.358	95.295	0.415	1.957
HpGP-JAP-112	61.681	93.616	0.639	1.658
HpGP-JAP-113	54.304	94.502	1.781	3.498
HpGP-JAP-114	60.33	93.853	0.593	1.7
HpGP-JAP-115	52.145	93.94	0.357	1.536
HpGP-JOR-001	75.712	40.922	1.463	2.798
HpGP-JOR-002	74.914	33.375	1.071	3.07
HpGP-JOR-003	73.989	35.03	1.143	4.055
HpGP-JOR-004	73.929	40.703	1.167	4.243
HpGP-JOR-005	72.444	33.318	2.077	2.937
HpGP-JOR-006	75.26	41.369	2.434	2.391
HpGP-JOR-007	74.839	32.047	1.059	2.966
HpGP-JOR-008	69.771	33.237	2.307	3.497
HpGP-JOR-009	71.529	34.638	2.181	3.448
HpGP-JOR-010	75.079	33.063	1.029	2.046
HpGP-KAZ-001	76.13	42.12	2.378	2.639
HpGP-KAZ-002	66.907	85.702	0.804	1.767
HpGP-KGZ-001	74.634	46.103	1.421	1.702
HpGP-KGZ-002	81.263	56.059	1.89	3.499
HpGP-KGZ-003	74.031	47.352	0.927	1.929
HpGP-KGZ-004	69.73	77.634	0.5	1.693
HpGP-KGZ-005	69.726	73.67	1.153	2.428
HpGP-KGZ-006	61.555	80.811	0.593	1.902
HpGP-KGZ-007	75.155	70.833	0.541	1.53
HpGP-KGZ-008	78.93	51.472	1.419	2.68
HpGP-KGZ-009	75.926	54.506	0.88	2.169
HpGP-KGZ-010	75.744	76.104	0.885	1.96
HpGP-KOR-001	55.207	94.72	1.986	2.505
HpGP-KOR-002	55.83	94.69	0.5	1.829
HpGP-KOR-004	60.153	94.118	0.417	1.731
HpGP-KOR-005	57.769	93.789	1.869	2.994
HpGP-KOR-006	59.083	93.825	0.942	1.781
HpGP-KOR-007	57.82	94.02	0.803	1
HpGP-KOR-008	58.311	94.309	0.471	1.529
HpGP-KOR-009	58.833	93.917	0.625	1.526
HpGP-KOR-010	57.531	93.695	0.915	1.318
HpGP-KOR-012	56.716	94.675	0.95	1.909
HpGP-KOR-013	57.053	94.552	1.055	2.183
HpGP-KOR-014	51.848	94.145	0.306	1.642
HpGP-KOR-016	55.671	94.113	0.422	1.878
HpGP-KOR-019	58.759	94.8	0.466	1.103
HpGP-KOR-020	58.558	95.059	1.864	2.134
HpGP-KOR-021	58.436	92.766	0.417	1.413
HpGP-KOR-022	52.893	93.579	0.357	1.864
HpGP-KOR-023	57.586	94.213	0.689	1.497
HpGP-KOR-024	59.78	93.475	0.512	1.656
HpGP-KOR-025	54.844	94.86	0.52	1.697
HpGP-KOR-027	55.083	94.343	0.305	1.773
HpGP-KOR-028	52.38	94.074	0.641	0.71
HpGP-KOR-029	54.995	94.313	1.953	2.958
HpGP-KOR-032	70.119	84.46	1.438	2.207
HpGP-KOR-033	53.034	92.867	0.342	1.575
HpGP-KOR-034	54.529	93.831	1.484	2.415
HpGP-KOR-035	58.735	94.355	0.798	2.233
HpGP-KOR-036	58.3	93.781	0.417	0.648
HpGP-KOR-037	57.961	93.087	1.796	3.32
HpGP-KOR-041	53.905	94.733	0.799	1.707
HpGP-KOR-042	62.122	93.67	0.565	1.697
HpGP-KOR-043	57.069	94.678	0.659	1.021
HpGP-KOR-044	54.521	94.692	0.467	0.518
HpGP-KOR-045	55.052	93.321	0.466	1.435
HpGP-KOR-046	57.384	93.588	0.67	1.882
HpGP-KOR-047	52.035	94.553	0.534	1.34
HpGP-KOR-048	58.718	94.152	0.555	1.532
HpGP-KOR-049	54.576	95.1	0.421	1.206
HpGP-KOR-050	57.512	95.311	0.976	2.011
HpGP-KOR-051	54.774	93.563	0.421	1.397
HpGP-KOR-052	56.342	94.604	0.694	1.621
HpGP-KOR-053	57.252	94.529	0.812	1.516
HpGP-KOR-101	56.532	93.696	0.918	1.216
HpGP-KOR-105	57.743	93.166	0.577	2.1
HpGP-KOR-109	56.833	93.752	0.736	1.73
HpGP-KOR-110	56.099	95.203	2.044	2.11
HpGP-KOR-111	59.235	94.069	0.819	0.977
HpGP-KOR-112	58.67	93.936	0.34	1.476
HpGP-KOR-114	60.385	95.094	0.466	0.828
HpGP-KOR-115	58.101	94.113	0.498	1.643
HpGP-KOR-116	54.17	94.155	2.332	3.092
HpGP-KOR-117	58.724	94.444	0.537	1.926
HpGP-KOR-118	54.413	94.699	0.593	1.711
HpGP-KOR-119	59.099	93.827	1.669	1.891
HpGP-LAT-001	80.474	57.614	2.173	2.658
HpGP-LAT-002	75.927	41.32	1.45	2.966
HpGP-LAT-003	76.916	48.116	1.625	2.249
HpGP-LAT-004	80.812	54.946	0.927	2.149
HpGP-LAT-005	81.599	54.745	0.595	1.958
HpGP-LAT-006	80.449	58.338	0.411	1.98
HpGP-LAT-007	78.737	52.291	1.448	2.188
HpGP-LAT-008	78.828	50.47	0.821	2.414
HpGP-LAT-009	81.075	53.099	2.028	3.451
HpGP-LAT-010	80.686	54.225	0.805	2.044
HpGP-LAT-011	81.975	56.853	1.907	3.778
HpGP-LAT-012	80.598	62.147	1.165	3.028
HpGP-LAT-014	82.057	59.006	0.867	2.079
HpGP-LAT-015	80.062	61.099	0.846	2.025
HpGP-LAT-017	82.89	59.04	1.519	2.911
HpGP-LAT-018	83.245	58.418	1.422	2.875
HpGP-LAT-019	83.573	55.827	1.048	2.384
HpGP-LAT-020	81.71	56.708	1.525	3.38
HpGP-LAT-021	82.018	60.098	1.882	3.376
HpGP-LAT-022	82.284	55.614	1.729	3.366
HpGP-LAT-023	80.701	55.342	2.445	2.951
HpGP-LAT-024	83.668	64.159	0.755	1.94
HpGP-LAT-025	84.477	52.661	0.83	2.897
HpGP-LAT-026	79.091	54.625	2.065	3.513
HpGP-LAT-027	78.695	63.849	0.586	1.207
HpGP-LAT-028	78.765	54.2	0.676	3.213
HpGP-LAT-029	80.067	60.084	0.689	2.206
HpGP-LAT-030	77.853	51.855	1.103	2.346
HpGP-LAT-031	84.328	60.244	1.562	1.812
HpGP-LAT-032	81.659	54.249	0.568	2.997
HpGP-LAT-033	75.497	47.315	1.933	2.62
HpGP-LAT-034	82.428	55.441	1.096	2.002
HpGP-LAT-035	80.045	53.859	0.449	1.913
