Strain,Tomb26695,F16,SouthAfrica20,SouthAfrica7
HpGP-CHI-023,92.265,93.446,90.103,87.201
HpGP-CHI-024,91.988,93.386,90.876,87.414
HpGP-CHI-026,92.372,93.643,90.358,87.004
HpGP-CHI-027,91.541,93.200,90.228,87.004
HpGP-CHI-028,92.142,93.336,90.640,87.675
HpGP-CHI-101,90.194,91.463,90.997,88.893
HpGP-CHI-102,89.386,91.386,90.527,87.116
HpGP-CHI-103,89.060,90.290,88.644,87.138
HpGP-CHI-104,88.714,91.631,90.119,87.519
HpGP-CHI-105,82.173,86.202,80.711,78.324
HpGP-CHI-106,87.843,90.798,88.497,85.645
HpGP-CHI-107,89.016,90.244,88.625,87.274
HpGP-CHI-110,88.790,91.835,89.028,85.967
HpGP-CHI-113,89.504,91.161,90.601,88.279
HpGP-CHI-114,90.166,92.660,90.610,87.847
HpGP-CHI-116,80.799,85.079,80.091,78.290
HpGP-CHI-117,89.764,90.871,91.414,89.565
HpGP-CHI-119,91.662,93.817,90.694,87.036
HpGP-CHI-120,90.134,93.089,89.384,85.905
HpGP-CHI-122,92.228,94.630,91.624,88.324
HpGP-CHI-123,91.684,93.620,88.946,85.746
HpGP-CHI-124,91.523,93.248,89.584,86.234
HpGP-CHI-125,92.159,93.679,90.694,87.798
HpGP-CHI-126,90.363,91.499,90.819,88.423
HpGP-CHI-127,92.714,93.949,90.240,87.381
HpGP-CHI-204,90.168,91.108,90.858,88.693
HpGP-CHI-207,91.080,91.991,90.973,88.364
HpGP-CHI-208,90.635,95.912,87.770,84.676
HpGP-CHI-209,91.474,92.891,91.205,87.460
HpGP-CHI-210,88.770,90.795,88.700,87.217
HpGP-CHI-212,91.265,93.489,91.297,88.702
HpGP-CHN-001,89.145,96.418,86.532,84.427
HpGP-CHN-002,88.706,96.173,86.868,83.716
HpGP-CHN-003,89.338,95.059,88.617,86.192
HpGP-CHN-004,88.881,95.816,86.137,83.586
HpGP-CHN-005,90.103,95.903,86.433,84.665
HpGP-CHN-006,89.211,95.671,86.668,84.225
HpGP-CHN-007,89.474,95.528,87.252,84.240
HpGP-CHN-008,89.142,95.277,86.645,84.025
HpGP-CHN-009,89.571,95.303,86.603,83.455
HpGP-CHN-010,89.987,96.456,87.580,84.101
HpGP-COG-001,90.014,92.495,90.873,87.237
HpGP-COG-002,91.188,93.042,91.532,90.425
HpGP-COG-003,90.094,93.099,92.234,88.301
HpGP-COG-004,89.656,93.197,90.257,86.670
HpGP-COG-005,90.087,93.187,89.555,86.038
HpGP-COG-006,90.087,93.313,90.971,87.550
HpGP-COG-007,91.045,93.303,90.060,86.804
HpGP-COG-008,89.680,92.757,90.108,86.254
HpGP-COG-009,89.943,93.236,89.095,86.311
HpGP-COG-010,90.505,93.430,91.087,88.046
HpGP-COG-011,89.263,92.694,89.787,86.584
HpGP-COL-002,89.426,90.767,90.201,87.814
HpGP-COL-003,91.321,93.721,91.674,87.641
HpGP-COL-004,89.191,91.086,91.292,90.183
HpGP-COL-005,91.747,91.020,89.681,87.394
HpGP-COL-006,91.371,93.670,90.447,87.490
HpGP-COL-008,92.039,94.778,90.357,87.229
HpGP-COL-010,89.584,90.260,89.499,87.207
HpGP-COL-102,91.982,93.831,92.174,88.854
HpGP-COL-103,89.115,91.202,89.433,87.073
HpGP-COL-104,91.516,93.324,91.698,88.163
HpGP-COL-105,88.984,91.199,89.729,86.791
HpGP-COL-106,88.458,90.634,89.937,86.853
HpGP-COL-107,91.832,93.772,90.356,87.781
HpGP-COL-108,91.040,93.855,90.263,87.159
HpGP-COL-109,91.866,93.098,90.898,87.375
HpGP-COL-110,91.345,93.257,90.257,88.374
HpGP-COL-112,91.639,93.834,90.931,88.415
HpGP-COL-113,92.356,93.621,92.241,88.417
HpGP-COL-114,91.797,94.034,91.345,88.355
HpGP-COL-118,92.022,94.367,90.349,88.778
HpGP-COL-119,91.661,93.314,91.401,87.587
HpGP-COL-120,92.364,94.873,90.654,88.690
HpGP-COL-121,91.442,94.671,90.700,87.768
HpGP-COL-122,91.798,94.249,91.460,87.830
HpGP-COL-201,88.972,91.557,89.038,85.979
HpGP-COL-202,88.461,91.622,89.117,86.062
HpGP-COL-203,90.925,90.611,89.811,87.673
HpGP-COL-204,91.892,93.964,90.131,86.659
HpGP-COL-205,90.905,93.957,91.164,88.001
HpGP-COL-206,92.203,93.573,88.435,85.052
HpGP-COL-207,91.212,93.513,90.381,87.585
HpGP-COL-208,91.397,93.776,91.039,87.713
HpGP-COL-209,88.741,90.048,89.502,87.869
HpGP-COL-210,88.729,91.397,89.794,86.980
HpGP-COL-211,91.703,93.895,90.946,88.487
HpGP-COL-301,91.729,93.806,89.478,86.268
HpGP-COL-302,91.322,93.699,92.209,88.955
HpGP-COL-303,88.951,92.175,89.079,86.352
HpGP-COL-305,89.052,90.816,89.549,87.242
HpGP-COL-306,90.921,93.324,89.730,86.697
HpGP-COL-307,91.395,93.975,89.410,85.781
HpGP-COL-308,93.453,93.000,89.564,87.286
HpGP-COL-309,91.325,92.913,90.632,87.941
HpGP-COL-310,89.068,90.407,89.462,86.873
HpGP-COL-318,90.493,93.067,89.785,86.234
HpGP-CRI-001,92.147,93.643,89.290,86.207
HpGP-CRI-002,92.163,93.659,91.996,88.395
HpGP-CRI-003,91.276,94.083,90.724,87.414
HpGP-CRI-004,90.896,93.362,90.213,87.562
HpGP-CRI-005,92.627,93.706,90.808,87.619
HpGP-CRI-006,91.415,93.823,92.112,88.254
HpGP-CRI-007,90.558,93.172,90.117,87.246
HpGP-CRI-008,92.251,93.521,91.333,87.702
HpGP-DOM-001,90.500,91.188,90.180,86.598
HpGP-DOM-002,89.895,91.648,91.882,88.957
HpGP-DOM-003,89.494,90.493,90.510,87.987
HpGP-DOM-004,90.335,93.191,90.391,86.900
HpGP-DOM-005,91.675,93.358,90.920,89.332
HpGP-DOM-006,89.342,91.378,91.600,87.914
HpGP-DOM-007,88.247,90.963,91.806,88.763
HpGP-DOM-008,88.442,90.381,89.291,86.565
HpGP-DOM-009,88.260,91.050,89.444,86.279
HpGP-DOM-010,90.788,91.290,90.138,87.471
HpGP-DOM-011,90.023,93.207,90.200,87.131
HpGP-FRA-001,93.124,94.004,92.374,90.962
HpGP-FRA-002,91.074,92.857,90.531,86.869
HpGP-FRA-003,89.908,90.611,90.434,87.288
HpGP-FRA-004,89.755,92.636,89.751,85.862
HpGP-FRA-005,90.318,90.347,89.025,87.481
HpGP-FRA-006,88.311,90.684,89.135,85.877
HpGP-FRA-007,92.943,94.161,90.218,86.722
HpGP-FRA-008,88.615,91.316,90.070,87.284
HpGP-FRA-009,89.234,91.417,89.691,85.692
HpGP-FRA-010,89.321,91.548,89.475,86.105
HpGP-FRA-011,93.060,93.895,87.869,84.370
HpGP-FRA-012,94.810,93.129,88.117,85.049
HpGP-FRA-013,91.232,93.264,89.240,85.999
HpGP-FRA-014,95.227,92.890,88.205,85.098
HpGP-FRA-015,91.945,93.040,88.703,86.336
HpGP-FRA-016,91.836,93.887,87.665,84.952
HpGP-FRA-017,91.342,93.617,91.456,88.271
HpGP-FRA-018,92.508,93.646,90.932,89.119
HpGP-FRA-019,91.750,93.857,92.416,88.730
HpGP-FRA-020,90.840,93.745,89.450,85.971
HpGP-FRA-021,90.910,93.964,88.567,85.231
HpGP-GER-001,91.666,93.687,89.663,86.946
HpGP-GER-002,95.109,93.015,88.440,84.864
HpGP-GER-003,90.818,91.347,89.481,86.913
HpGP-GER-004,89.161,91.650,90.508,88.499
HpGP-GER-005,92.628,93.553,88.501,84.880
HpGP-GER-006,87.373,90.437,87.864,85.301
HpGP-GER-007,91.711,93.795,88.461,85.394
HpGP-GER-009,90.941,93.899,88.918,85.914
HpGP-GER-010,90.598,91.717,89.198,86.158
HpGP-GER-012,92.898,94.711,91.368,87.539
HpGP-GER-013,89.606,91.332,91.613,88.248
HpGP-GER-015,93.082,93.587,89.970,86.700
HpGP-GER-016,92.279,93.172,89.760,86.924
HpGP-GER-018,90.788,90.755,88.641,84.958
HpGP-GER-019,90.838,91.736,89.147,85.285
HpGP-GER-020,89.744,90.543,90.484,88.555
HpGP-GER-021,94.706,93.341,88.620,84.992
HpGP-GHA-003,88.151,90.729,89.409,85.359
HpGP-GHA-009,90.421,93.352,91.015,88.020
HpGP-GMB-003,88.618,89.870,91.563,87.620
HpGP-GMB-004,90.233,93.084,89.784,86.268
HpGP-GMB-007,90.761,93.209,91.356,88.158
HpGP-GMB-008,91.487,92.838,90.390,87.087
HpGP-GMB-009,90.031,93.323,89.342,85.761
HpGP-GRE-001,91.831,93.673,91.977,88.139
HpGP-GRE-002,90.377,91.846,91.346,88.543
HpGP-GRE-003,88.965,90.946,90.412,86.948
HpGP-GRE-004,90.845,92.650,88.402,84.624
HpGP-GRE-005,90.257,90.430,90.194,88.568
HpGP-GRE-006,89.435,92.215,90.233,87.173
HpGP-GRE-008,92.514,93.799,90.335,87.828
HpGP-GRE-011,90.807,92.589,90.467,87.939
HpGP-GRE-012,90.022,93.945,88.817,85.564
HpGP-GRE-018,93.613,94.066,91.198,86.836
HpGP-GRE-019,93.217,94.327,89.766,88.037
HpGP-GRE-020,88.789,89.973,91.027,87.764
HpGP-GRE-022,91.947,93.847,91.667,89.000
HpGP-GRE-036,88.980,90.447,89.219,86.816
HpGP-GRE-039,89.605,91.225,89.103,85.092
HpGP-GRE-040,90.277,93.804,89.165,85.841
HpGP-GRE-041,88.906,91.278,91.601,87.420
HpGP-GRE-042,89.261,90.696,90.233,87.123
HpGP-GRE-043,91.478,93.610,90.626,86.983
HpGP-GRE-044,93.400,93.553,88.783,85.418
HpGP-GRE-046,88.905,91.278,91.601,87.420
HpGP-GTM-004,92.063,94.117,90.946,87.760
HpGP-GTM-007,91.547,93.765,88.219,84.727
HpGP-GTM-010,90.045,93.393,91.788,88.437
HpGP-HON-001,91.277,93.498,89.838,85.936
HpGP-HON-002,91.630,93.465,89.767,85.851
HpGP-HON-003,90.704,93.292,90.802,88.395
HpGP-HON-004,90.145,93.588,89.960,86.814
HpGP-HON-005,91.399,94.057,90.079,87.360
HpGP-HON-006,91.421,94.032,91.246,88.004
HpGP-HON-007,90.766,92.670,90.430,88.406
HpGP-HON-009,91.106,93.603,88.848,85.487
HpGP-HON-010,90.726,94.286,90.270,87.006
HpGP-HON-011,90.089,93.707,89.393,86.585
HpGP-HON-012,89.761,93.130,89.716,86.324
HpGP-HON-013,91.346,93.791,90.859,87.888
HpGP-HON-014,90.857,93.017,91.258,88.236
HpGP-HON-015,89.574,93.420,89.466,86.185
HpGP-HON-016,91.856,92.965,90.036,86.772
HpGP-HON-017,90.714,93.378,90.863,87.371
HpGP-HON-018,90.418,93.134,90.880,87.655
HpGP-HON-019,90.578,93.778,91.460,87.384
HpGP-HON-020,90.237,93.155,90.425,87.453
HpGP-HON-021,90.212,93.737,89.375,86.191
HpGP-HON-023,89.463,93.715,89.345,86.199
HpGP-HON-024,89.232,91.867,90.275,86.939
HpGP-HON-025,91.524,94.044,90.070,86.352
HpGP-HON-026,91.284,93.620,89.316,85.856
HpGP-HON-027,90.449,93.237,89.373,86.002
HpGP-HON-028,92.138,94.020,90.612,87.541
HpGP-IDN-001,91.341,93.797,90.302,87.728
HpGP-IDN-002,88.374,95.189,86.014,82.961
HpGP-IDN-003,88.768,91.342,89.424,86.130
HpGP-IDN-004,90.644,93.931,89.516,86.241
HpGP-IDN-005,89.737,95.881,87.204,83.976
HpGP-IDN-006,88.952,91.154,88.986,85.781
HpGP-IDN-007,89.046,95.822,86.726,83.702
HpGP-IDN-008,88.531,95.906,86.663,83.837
HpGP-IDN-009,90.942,94.131,90.460,87.125
HpGP-IDN-010,89.183,92.262,88.033,85.491
HpGP-IDN-011,88.190,92.360,86.472,83.216
HpGP-IND-001,89.781,93.371,87.877,84.807
HpGP-IND-002,90.409,93.882,89.419,86.472
HpGP-IND-003,93.601,93.761,89.855,87.118
HpGP-IND-004,88.929,90.431,89.131,85.569
HpGP-IND-005,90.512,93.606,89.714,85.887
HpGP-IND-006,91.362,93.329,90.082,87.562
HpGP-IND-007,91.156,94.278,90.367,86.669
HpGP-IND-008,91.837,93.453,87.675,84.176
HpGP-IND-009,91.343,94.239,87.978,84.622
HpGP-IND-010,90.061,93.835,89.189,86.106
HpGP-IRN-001,92.933,93.647,90.603,87.476
HpGP-IRN-002,89.361,90.701,87.729,84.252
HpGP-IRN-003,88.641,91.118,89.333,86.386
HpGP-IRN-009,89.579,91.074,89.673,85.727
HpGP-ISL-001,90.355,91.499,90.351,88.414
HpGP-ISL-002,89.340,91.704,90.997,87.267
HpGP-ISL-003,89.353,91.545,89.846,86.891
HpGP-ISL-004,88.571,91.576,88.984,85.761
HpGP-ISL-005,89.671,91.346,90.220,86.979
HpGP-ISL-006,92.690,93.672,88.664,86.602
HpGP-ISL-007,88.925,91.646,87.428,84.084
HpGP-ISL-008,89.455,91.686,88.098,84.449
HpGP-ISL-009,88.610,90.623,87.540,84.108
HpGP-ISL-010,88.899,91.683,87.929,84.709
HpGP-ISL-011,91.806,93.607,88.067,85.152
HpGP-ISR-001,89.563,90.889,90.465,87.741
HpGP-ISR-002,90.491,91.284,90.201,86.717
HpGP-ISR-003,91.018,93.215,91.407,88.603
HpGP-ISR-004,90.017,91.005,88.934,86.230
HpGP-ISR-005,89.048,90.602,91.614,90.279
HpGP-ISR-006,91.657,93.008,88.495,85.170
HpGP-ISR-007,90.360,91.591,90.373,86.829
HpGP-ISR-008,88.836,90.575,92.098,89.216
HpGP-ISR-009,88.153,91.429,89.646,85.965
HpGP-ISR-010,89.952,91.122,89.720,86.865
HpGP-ITA-001,89.159,91.169,90.013,86.748
HpGP-ITA-002,90.675,90.865,89.542,87.805
HpGP-ITA-003,88.969,92.290,88.988,85.774
HpGP-ITA-004,91.780,91.925,90.059,87.600
HpGP-ITA-005,90.390,91.591,90.831,87.826
HpGP-ITA-006,88.882,90.455,89.807,87.134
HpGP-ITA-007,90.755,93.658,88.703,85.480
HpGP-ITA-008,92.018,94.173,88.393,85.433
HpGP-ITA-009,92.707,93.651,91.424,88.228
HpGP-ITA-010,90.892,92.473,90.851,87.190
HpGP-ITA-011,89.675,91.355,88.422,85.274
HpGP-ITA-012,92.454,93.778,88.289,84.710
HpGP-ITA-013,90.330,91.488,90.095,86.668
HpGP-ITA-014,92.533,93.747,92.088,88.516
HpGP-ITA-015,91.392,92.950,91.498,87.891
HpGP-ITA-016,91.876,93.418,90.182,86.768
HpGP-ITA-017,90.488,92.750,91.258,88.214
HpGP-ITA-018,94.808,93.384,89.570,87.995
HpGP-ITA-019,92.105,93.879,92.236,89.443
HpGP-ITA-020,92.600,93.990,90.870,87.250
HpGP-ITA-022,91.797,93.322,88.181,84.822
HpGP-ITA-023,91.848,92.996,91.713,87.608
HpGP-ITA-024,92.700,93.726,88.935,86.928
HpGP-ITA-025,88.810,91.736,91.512,87.989
HpGP-ITA-026,91.831,93.396,89.224,85.307
HpGP-ITA-027,91.632,93.072,90.322,87.051
HpGP-ITA-028,91.421,94.156,90.056,85.888
HpGP-ITA-029,90.897,93.262,89.795,86.420
HpGP-ITA-030,92.233,93.994,88.181,84.644
HpGP-JAP-002,87.778,93.930,86.136,83.709
HpGP-JAP-009,89.764,96.272,87.500,84.059
HpGP-JAP-010,89.343,96.053,86.863,84.557
HpGP-JAP-012,89.207,95.493,86.500,83.652
HpGP-JAP-013,90.210,96.206,86.530,82.912
HpGP-JAP-015,89.720,96.420,87.336,84.241
HpGP-JAP-016,89.541,95.482,89.120,86.144
HpGP-JAP-017,90.077,95.719,89.266,85.544
HpGP-JAP-019,88.663,95.918,86.264,83.972
HpGP-JAP-021,88.346,95.501,86.017,83.960
HpGP-JAP-022,89.542,96.172,86.714,84.062
HpGP-JAP-026,89.372,95.959,86.951,84.140
HpGP-JAP-028,89.125,95.822,86.814,84.449
HpGP-JAP-029,89.254,95.949,86.538,83.752
HpGP-JAP-101,88.649,95.616,85.643,82.802
HpGP-JAP-102,90.760,93.525,90.385,87.498
HpGP-JAP-103,87.393,94.066,86.535,83.876
HpGP-JAP-104,90.622,93.164,89.597,86.849
HpGP-JAP-105,87.561,92.618,87.770,84.040
HpGP-JAP-106,88.790,93.856,89.960,87.107
HpGP-JAP-107,89.579,96.461,86.915,84.224
HpGP-JAP-108,88.697,96.094,86.648,83.743
HpGP-JAP-109,89.476,96.445,86.876,84.110
HpGP-JAP-110,91.244,93.796,90.470,86.697
HpGP-JAP-111,88.027,96.009,86.384,83.585
HpGP-JAP-112,88.628,95.837,86.301,82.972
HpGP-JAP-113,89.267,95.535,89.045,86.287
HpGP-JAP-114,89.425,95.605,87.374,84.518
HpGP-JAP-115,88.957,95.501,87.404,84.547
HpGP-JOR-001,91.454,93.129,89.713,86.561
HpGP-JOR-002,88.166,90.705,89.171,85.963
HpGP-JOR-003,92.135,93.754,90.406,88.245
HpGP-JOR-004,91.634,93.492,90.634,88.826
HpGP-JOR-005,91.457,93.533,92.277,88.765
HpGP-JOR-006,92.758,94.244,92.367,89.099
HpGP-JOR-007,92.054,93.574,90.327,87.384
HpGP-JOR-008,92.169,93.011,91.870,88.476
HpGP-JOR-009,90.132,91.478,92.208,88.530
HpGP-JOR-010,90.123,93.674,89.142,86.181
HpGP-KAZ-001,91.137,91.412,90.977,88.341
HpGP-KAZ-002,91.350,94.046,87.597,84.175
HpGP-KGZ-001,91.189,93.514,90.852,88.109
HpGP-KGZ-002,92.498,94.336,90.805,88.151
HpGP-KGZ-003,89.679,91.830,89.374,86.332
HpGP-KGZ-004,91.980,94.504,89.508,86.360
HpGP-KGZ-005,90.806,93.667,89.690,87.147
HpGP-KGZ-006,88.839,92.388,87.809,84.234
HpGP-KGZ-007,91.747,94.359,89.710,86.661
HpGP-KGZ-008,91.463,93.334,90.626,88.199
HpGP-KGZ-009,92.616,94.203,88.781,85.838
HpGP-KGZ-010,91.963,94.703,89.175,86.555
HpGP-KOR-001,90.301,95.862,89.950,86.933
HpGP-KOR-002,89.964,96.381,86.447,83.187
HpGP-KOR-004,89.582,95.414,86.496,83.426
HpGP-KOR-005,89.459,95.954,88.919,85.872
HpGP-KOR-006,89.401,95.315,87.162,84.101
HpGP-KOR-007,89.270,95.919,86.637,83.984
HpGP-KOR-008,89.052,95.404,86.867,83.840
HpGP-KOR-009,89.263,95.604,86.821,83.753
HpGP-KOR-010,88.940,95.294,87.518,84.941
HpGP-KOR-012,90.423,95.776,87.934,85.050
HpGP-KOR-013,90.152,95.888,87.462,83.991
HpGP-KOR-014,88.919,95.737,86.388,83.226
HpGP-KOR-016,89.467,95.388,86.797,83.763
HpGP-KOR-019,89.626,95.889,87.103,85.242
HpGP-KOR-020,90.358,96.026,89.094,86.311
HpGP-KOR-021,88.446,94.652,85.881,82.878
HpGP-KOR-022,89.451,95.416,86.218,83.304
HpGP-KOR-023,89.216,95.905,87.004,83.612
HpGP-KOR-024,90.035,95.120,86.295,83.784
HpGP-KOR-025,89.104,96.042,86.559,83.344
HpGP-KOR-027,90.451,96.097,86.970,84.740
HpGP-KOR-028,89.212,96.155,87.322,83.718
HpGP-KOR-029,89.352,95.948,88.633,85.016
HpGP-KOR-032,90.400,93.855,89.115,86.245
HpGP-KOR-033,88.886,95.237,86.303,83.228
HpGP-KOR-034,89.157,95.298,87.287,84.235
HpGP-KOR-035,89.539,95.675,86.066,84.073
HpGP-KOR-036,89.195,96.456,87.250,84.276
HpGP-KOR-037,89.155,95.380,88.740,85.851
HpGP-KOR-041,89.351,96.189,86.725,83.782
HpGP-KOR-042,89.019,94.984,87.222,84.008
HpGP-KOR-043,88.846,95.998,87.260,84.735
HpGP-KOR-044,89.747,95.971,86.499,83.615
HpGP-KOR-045,89.923,95.980,86.326,83.202
HpGP-KOR-046,89.109,95.471,86.902,84.355
HpGP-KOR-047,88.963,95.728,86.977,83.734
HpGP-KOR-048,89.076,96.206,86.570,83.316
HpGP-KOR-049,89.603,96.329,87.310,83.621
HpGP-KOR-050,89.674,96.294,87.309,84.231
HpGP-KOR-051,90.354,95.555,86.967,84.790
HpGP-KOR-052,88.567,95.831,86.561,82.917
HpGP-KOR-053,88.992,95.947,86.920,83.273
HpGP-KOR-101,89.435,95.386,87.785,85.187
HpGP-KOR-105,90.148,95.430,86.785,83.908
HpGP-KOR-109,88.722,95.242,87.048,84.180
HpGP-KOR-110,90.638,96.172,89.875,87.097
HpGP-KOR-111,89.237,95.883,86.957,84.250
HpGP-KOR-112,89.872,95.171,87.153,84.085
HpGP-KOR-114,89.825,96.249,87.858,85.505
HpGP-KOR-115,88.686,96.217,86.497,83.194
HpGP-KOR-116,90.907,95.791,89.565,87.308
HpGP-KOR-117,88.891,95.377,87.259,83.958
HpGP-KOR-118,89.326,96.304,87.498,83.654
HpGP-KOR-119,88.897,95.345,88.129,85.680
HpGP-LAT-001,91.622,93.446,90.197,87.143
HpGP-LAT-002,89.713,91.295,89.698,86.920
HpGP-LAT-003,90.813,93.935,90.337,87.422
HpGP-LAT-004,91.797,94.176,89.751,86.722
HpGP-LAT-005,91.937,93.982,89.721,86.751
HpGP-LAT-006,92.235,93.773,87.675,84.859
HpGP-LAT-007,91.825,94.354,90.787,88.229
HpGP-LAT-008,89.575,91.065,89.095,85.610
HpGP-LAT-009,92.026,93.483,90.310,86.937
HpGP-LAT-010,91.599,93.512,88.443,84.816
HpGP-LAT-011,92.439,94.255,89.828,86.908
HpGP-LAT-012,91.196,94.318,88.324,85.350
HpGP-LAT-014,94.425,93.683,88.499,84.549
HpGP-LAT-015,91.430,93.756,88.284,84.907
HpGP-LAT-017,92.126,93.904,91.214,88.226
HpGP-LAT-018,92.374,93.608,91.185,87.483
HpGP-LAT-019,92.040,94.435,87.925,84.894
HpGP-LAT-020,93.943,94.164,90.872,87.814
HpGP-LAT-021,92.019,92.616,90.291,87.368
HpGP-LAT-022,91.848,94.674,91.787,88.752
HpGP-LAT-023,92.121,93.948,90.088,87.312
HpGP-LAT-024,92.079,93.284,88.439,84.835
HpGP-LAT-025,92.967,94.010,88.901,86.469
HpGP-LAT-026,91.243,94.168,91.225,88.614
HpGP-LAT-027,90.925,93.087,87.442,84.569
HpGP-LAT-028,92.332,93.779,90.314,89.148
HpGP-LAT-029,92.372,93.379,88.489,85.235
HpGP-LAT-030,90.418,93.263,89.048,85.933
HpGP-LAT-031,92.044,93.925,90.625,87.286
HpGP-LAT-032,92.838,94.199,88.857,87.015
HpGP-LAT-033,88.217,91.830,90.632,87.812
HpGP-LAT-034,92.012,93.749,88.735,84.936
HpGP-LAT-035,91.700,93.088,89.049,85.972
